"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"18780",11,18953,75,10.4849498327759,11.1120401337793
"4767",248,433297,2297,11.0838052872595,11.9454955581874
"21793",28,29067,167.37,18.4329445352999,19.6891016716489
"28805",13,75321,0,27.6358118361153,27.6358118361153
"17026",29,51432,396.97,16.4173503540969,17.6723466125344
"23562",125,230091,1717.06,13.6400599051497,14.9326699421681
"29269",195,544584,1483,22.0143735568067,22.6556486694514
"30750",62,122138,877,15.262962751697,16.513604472078
"33817",271,28898,0,12.3043513890027,12.3043513890027
"20164",93,144146,1541.06,4.14437063383202,5.42453175008241
"2234",1252,1966729,14504.45,14.7313081938211,16.0074880857865
"2243",116,163253,1122.1,13.6281021177336,14.9011701652118
"19197",271,513017,4068.33,14.2011983085638,15.4670870271151
"21905",60,76582,529.12,14.7468132891736,16.0276461597526
"12257",124,168517,1011.28,16.0522779716961,17.3201120600448
"16505",58,94815,568.59,16.7203663856378,17.9802435554244
"22709",46,75957,405.2,18.9676491016062,20.2296673965111
"22315",59,86350,547.73,14.9377316731533,16.2056448560661
"2237",42,79993,526.98,16.4264999643377,17.7049576443269
"13301",50,81955,558.21,16.0212616246255,17.283003787645
"18300",81,152638,1010.93,15.8059199542142,17.0968133666648
"20687",204,293108,1979.23,13.414162407167,14.6707156118211
"32646",547,904228,2840,10.4701704219645,11.0130129288265
"28958",610,1228606,4572,15.2127748749616,16.1902633025045
"6192",13,21867,94.1,40.592800930308,41.8652135111015
"5058",64,112380,769.04,16.5596055704751,17.8193740013701
"28790",23,38884,225,19.0473066686659,20.1015856355662
"33026",10,38012,221.09,27.0604183176996,28.3128336172308
"18915",71,62888,471,9.28806095344611,10.3169124842723
"32036",47,72057,297,12.3578190357379,12.6635845502801
"32164",29,62824,369,7.8661638531042,8.80008099010402
"24299",10,20985,39,28.4119472324787,29.0880094302009
"12489",8,15094,118.36,17.0045025392227,18.2954922252666
"16547",33,49063,382.3,12.5536054703008,13.807981678167
"12865",8,18869,183.17,15.3173481652436,16.5732472983804
"9615",22,38608,221,16.6177355458007,17.5102068837405
"7774",75,136376,1146.8,14.5525691613199,15.8060531867219
"8516",14,26275,158.37,26.7126191075743,27.9627602092489
"21674",49,132674,351,20.2167626152058,21.0073245222844
"32393",7,30857,0,16.1011643921372,16.1011643921372
"159",27,44858,218,19.2844948005587,20.2243606325556
"29143",9,35907,163,27.1381794368042,28.2056319580878
"16394",7,24389,131,27.0390750156718,27.9515219056906
"24250",17,34742,313.59,15.3552002610785,16.6124423628726
"10499",8,21025,89.78,32.814601783812,34.0966274357488
"178",16,25251,122.71,26.917914661418,28.2178348928633
"31688",19,34166,206,12.1278272997393,13.3769935116124
"21866",31,72419,710,9.53747140697088,10.7886917874124
"16567",12,25939,154.33,16.8009019431569,18.0644902457337
"252",18,35032,109,13.1604580185718,13.6323297041061
"17524",21,30719,239.86,11.2063172744233,12.4576893700672
"16537",7,19587,63,24.5911871177131,25.7146423667457
"33894",24,8478,0,71.7577012684442,71.7577012684442
"5881",109,204442,1722,12.1419319593624,13.3090865219404
"24464",63,220855,743,14.6715056257447,15.4224134358934
"25042",34,55262,496.31,10.6891110590931,11.9643785373956
"29061",6,24512,25,23.4763805192947,23.67513077767
"29963",13,88517,0,20.352461969021,20.352461969021
