"","cert","rbc1rwaj","rbcrwaj"
"5792",7875,14.8529122069735,16.10972486703
"5793",2754,16.6334723345989,17.6261903280015
"5794",3732,18.7399751335858,20.0155652363733
"5795",2769,21.5799314428171,22.6969820456888
"5796",4775,13.1323426115939,14.1184734254273
"5797",2290,55.0457432224491,56.3056635798152
"5798",13883,14.6413076002394,15.8961699581089
"5799",16387,14.9476793671456,16.166825214039
"5800",15853,14.647068877115,15.8947188514784
"5801",15258,14.817921499436,16.0674514794782
"5802",14991,18.4365225223032,19.6949965312854
"5803",8503,20.4085321764281,21.6609854353889
"5804",404,15.4375272094036,16.7000435350457
"5805",15352,16.2424935659136,17.5007148984844
"5806",16941,29.278387619219,30.5650530861976
"5807",17632,22.475073313783,23.7302052785924
"5808",11747,17.657328192484,18.9141334745412
"5809",18120,13.0166069609605,14.2412415734838
"5810",17629,19.5628685209768,20.8254869879295
"5811",10407,25.917708095409,27.1625281430483
"5812",18101,10.3940626883665,15.3292646172393
"5813",1867,22.6183888054392,23.846944422484
"5814",6084,16.9888730030459,18.2445452850127
"5815",13033,20.8672064031614,22.135615073551
"5816",15164,14.3548894399216,15.3496741348665
"5817",6923,11.8575200683255,13.1093876254342
"5818",6762,23.0018698758211,24.2580428633073
"5819",35518,20.5344215936127,20.711376779077
"5820",11507,17.4667300380228,18.7191064638783
"5821",11868,12.1627259937645,13.4188351375095
"5822",10920,44.4198977776946,45.6761462565293
"5823",16082,10.7104921515402,11.964475392423
"5824",15731,17.1863117870722,18.4428752489589
"5825",22918,16.9469261602357,18.2073694885787
"5826",3818,11.4603157341453,12.3738060283109
"5827",5336,11.2419892591188,12.4927628820699
"5828",3133,17.610765643218,18.8641663427905
"5829",4096,13.8930671407083,14.4673868453439
"5830",58307,14.1037422419521,15.359167573834
"5831",1165,20.8211422726516,22.0747401222674
"5832",58022,10.2664032625598,11.5216477100468
"5833",34125,12.3628239813546,13.3144185610719
"5834",15214,25.4143443825169,26.3127016720446
"5835",14355,32.0809510844904,33.3333333333333
"5836",6212,11.9424452622095,13.0187470826413
"5837",2721,18.973204319456,19.9758896280752
"5838",4222,42.2289613343442,43.5329795299469
"5839",3301,27.1930120116579,28.0850418639128
"5840",3817,16.3185980631135,17.460526604739
"5841",3840,16.821772343495,17.6855946834425
"5842",4086,17.9663933016,19.2183288409704
"5843",5062,13.2678909007171,14.3346775273257
"5844",14583,19.0017496111975,19.6685458786936
"5845",5307,14.6911788421222,15.8306488725265
"5846",2779,18.039774372517,19.2999525116694
"5847",4062,16.5284171516257,17.7799009814992
"5848",5285,13.6109409242946,14.8647744180898
"5849",4050,15.3290434645296,16.5873830484387
"5850",4701,13.974547825457,15.0068822293594
"5851",4148,14.6659486462642,15.6753783929328
"5852",4170,15.5408116857059,16.8002086733192
"5853",4218,11.9079944364867,12.6545016711299
"5854",14534,16.8997441990313,18.163167257476
"5855",14853,14.4647519582245,15.5149405279954
"5856",4031,19.481063753134,20.6258409369968
"5857",14674,20.0171596081889,21.2671893991754
"5858",14761,24.7403990824557,25.9909232173248
"5859",4638,16.2930820728986,17.545251673692
