"","rbc1rwaj","rbcrwaj"
"58590",23.9727436358961,25.2404217022371
"15346",14.5689186037472,15.5834564254062
"57566",17.265673718041,18.5344414064374
"34938",21.5928449744463,22.8685000405614
"57429",12.0191592538601,13.2969386844376
"58020",11.3378867014865,12.5956111653179
"58366",18.8609715242881,20.1128449263863
"57176",20.2692901653337,21.5234777803543
"18584",13.3160551084436,14.3809393898058
"12246",22.2259810554804,23.4776725304466
"11777",26.1798871556588,27.4401403442227
"9310",19.9054290718039,21.0945709281961
"12518",22.0250774061793,23.0154373174642
"22354",12.3512792311663,13.6085317340892
"27409",10.4967848213464,11.7560979688767
"8660",13.6221759970278,14.9624906307579
"90",15.7986744789165,17.0550379406397
"14333",24.9796892454555,25.8124301817813
"57417",16.138306337757,17.3971301691609
"17225",10.8976428802067,12.1488537294156
"15741",9.47546531302877,10.2437094045085
"9811",26.6617510513955,27.9561964061391
"1209",17.6440033899232,18.8938097451179
"16246",18.9639228923765,20.2177947633551
"34784",16.9845000446256,18.1179900633683
"19024",15.4035679220466,16.4567162520146
"231",12.5673602160437,13.7470079175106
"16188",13.7467042458405,14.4922265660515
"35319",19.1755294973184,20.4254158712844
"10330",17.3680114928768,18.442475757213
"17687",11.3763068290811,12.5752325915979
"13819",12.3574173362293,13.6089551785416
"1986",38.6116622738176,39.3372227322534
"2409",20.1654712023294,21.4207087564804
"9932",15.9361389802133,17.1881255383421
"9791",21.028982688193,22.1104843415678
"2289",16.3692510188068,17.2855443339155
"10146",12.6141269118844,13.6250637869447
"31239",15.4746152239014,16.0735427258166
"57873",14.1615522433576,15.4363914589585
"29842",21.4980994597277,22.2831297443012
"8126",25.0890740106762,26.1795174153955
"22229",11.0101524072593,12.2846550846842
"31272",13.5829207920792,14.2932092122256
"59010",31.1793102614916,32.5012687901784
"58576",18.0419770328988,19.2989602731223
"58191",18.8929138499862,20.148891867994
"16854",15.2713714637146,16.5330950184502
"21000",15.5753428099949,16.8485772442851
"34249",10.8805762081784,12.1390954151177
"8975",13.1083872126437,14.2510775862069
"34020",12.3955571960672,13.6471930472132
"25267",17.0023343597894,18.2601569484454
"20202",17.3333080984916,18.1618941272215
"11444",14.7745892762036,16.0281027580355
"12387",19.8704042018726,20.6810915734186
"14498",12.0420165424411,13.0798503003428
"34139",17.419498394736,18.6496710003497
"7848",11.8170842596,13.0748808651305
"24315",12.0492590439342,13.3049515071914
"1687",35.2736582773779,36.0175836916091
"30417",12.3381163629248,13.5923789705788
"23189",11.5594001741114,12.5482791176723
"25750",14.0208070343447,15.0807469638271
"25752",12.7741084724954,13.8892993963645
"14649",16.4153209662352,17.6412270500086
"13147",18.6627689737785,19.921643185265
"10791",20.9126934844704,21.8057421561876
"17445",12.8634427981308,14.1190449608447
"19143",16.8408045738124,17.8425541401996
"27507",11.6395451132841,12.9064202773722
"35258",15.3280851342216,16.5921596848173
"17108",16.1421105836379,17.4016167114959
"13068",12.4639153065336,13.5628770608983
"32968",13.6932937739225,14.5811156659797
"25796",9.33182850693601,10.2890123862451
"34683",21.035629911769,22.3062211722353
"34220",15.3773845728504,16.6307252787761
"35370",17.2689238659176,18.5358570777873
"58311",17.1774879112241,18.4261282095814
"9760",10.9757087709716,12.2260686000251
"571",11.9672161753449,13.2190131247316
"57300",9.71054905349148,12.6863070457937
"12349",14.9208384860838,16.1742927372937
"13664",6.51808972503618,7.80607814761216
"18568",32.7835535058235,33.2056593449543
"23551",21.2345935106916,22.4913135922834
"33805",12.3443679137462,13.5186252794045
"21258",9.53190330406363,10.7897776275905
"57579",16.3130943672275,17.5899448028197
"13951",18.4718216672887,19.171445051403
"22636",20.3731307400106,21.3267939286115
"35094",17.7971758664955,19.0551989730424
"8879",14.5093250175064,15.6781930037533
"57141",16.6749379652605,17.7357320099256
"6196",13.4798975473455,14.736300838249
"34325",9.18787027767304,10.4871738197704
"34857",16.8709669059528,18.1511908155596
"19681",17.8895705521472,19.1403374233129
"35513",5.59284116331096,6.85150839926882
"58423",15.7491923088987,16.9285781499953
"22867",11.2182708205012,12.1924336240153
"14604",21.7913368318065,23.0454505025349
"35170",12.6238979245386,13.8929960024095
"57073",14.2104089692955,15.4709198624029
"14776",12.7319546876588,13.3553946759129
"21564",13.5242707175907,14.7747060481932
"34210",15.2476192330912,16.5017819236986
"57111",16.7547338109966,17.8764991613422
"4646",11.9875157874283,13.0792771786651
"27331",2.30658571672397,3.58666764196718
"35212",20.4442897122427,21.6561106573292
"35036",8.50089373523901,9.77509457800622
"18889",16.6778068483471,17.7988274163054
"30903",11.2083931360547,12.2099128287391
"35118",12.8045467842367,13.9203476952652
"57468",15.6971347236834,16.7986880376261
"57801",10.4436446806364,11.6376845716592
"34121",13.5224080365942,14.782906058333
"58468",12.1729490022173,13.4248678151117
"1979",16.9329271532562,18.1904323338233
"20329",10.7173161020821,11.6872266823314
"12238",14.138091634162,15.3984979915003
"6989",13.8562633800469,15.0188300525652
"11438",12.7122052768456,13.9630995403562
"33953",4.36473001416627,5.62762824494684
"26871",15.8676350202557,17.1459457190235
"34160",17.4415294487811,18.6985901143191
"920",22.2704296545914,23.0749789385004
"58624",22.7111140921591,23.9680729760547
"58159",17.4530214952008,18.7102879545762
"58658",23.9818446434298,25.2374256888428
"26363",15.7490629582208,17.0446526289991
"10568",14.7666394261328,15.8131299373468
"57129",67.0530233773018,68.2675982760872
"27053",19.5124033986593,20.840271551172
"287",12.0992455608909,13.3539249793863
"11595",15.7749036300585,17.0362708181399
"10595",13.0378977234344,14.2886094517521
"34627",14.4526137069088,15.7031840178311
"27393",16.3622715523243,17.6177878940136
"12512",12.4752358721877,13.7286440046292
"34611",16.3715343508582,17.630482972691
"11348",18.3356013586025,19.593525617622
"34614",36.0465800152914,37.340469328942
"58782",13.0699291349111,13.9407006284263
"7953",11.5635295292155,12.7615271617439
"35020",13.1630184331797,14.4210829493088
"35165",9.13598658857852,10.4202499401276
"22974",15.2822274333653,16.4580374541731
"57511",12.0749901451832,13.3457604243918
"3846",12.0022569724327,13.1085764952442
"32838",14.0957731301182,15.3508789306245
"6584",17.2161672759575,17.8858177594041
"34610",14.9151913604419,16.1723789699305
"35585",12.6420245265849,13.9038869870434
"27252",11.4217874195557,12.2859144695869
"57345",19.4913450624291,20.7091846386682
"19272",16.4069932469315,17.6694895428812
"6271",10.931628336447,12.0031566063261
"57828",15.5259252388461,16.7758092941286
"34503",13.6229157051396,14.8826641104839
"24897",10.602412130635,11.7729694510567
"25665",15.3639396346307,16.4054011119936
"57395",14.0186282811177,15.2701100762066
"23431",16.2675698194055,17.5292424553924
"27046",10.6560999431803,11.8782796641327
"18185",19.626718977675,20.821476575082
