"","cert","numemp","asset","RWAJT","RBCT2"
"3438",28531,41,209732,139434,1499
"3439",11716,4,19116,15769,74
"3440",14015,5,24765,11797,123
"3441",28938,32,166914,115975,1462
"3442",57766,25,153785,113618,1440
"3443",34951,38,198463,141595,1773
"3444",9128,6,31117,20037,130
"3445",14399,28,67771,33651,354
"3446",18984,52,143344,84280,1072
"3447",30155,41,526541,255999,1070
"3448",30039,76,699216,318073,2472
"3449",26411,66,252948,152436,1913
"3450",18296,221,585362,353148,4431
"3451",10619,331,1186414,907886,11356
"3452",57027,16,102978,57450,720
"3453",14562,103,373117,246586,2672
"3454",9035,15,61357,37908,475
"3455",1361,22,131242,101970,2104
"3456",14809,21,96987,73406,867
"3457",9443,139,558241,375788,3860
"3458",28694,299,929391,635428,8050
"3459",20369,418,1634052,1132106,14282
"3460",34597,91,229295,158749,2003
"3461",28761,35,160649,134849,1654
"3462",34053,22,56139,35167,317
"3463",35052,52,288111,187093,2375
"3464",9007,24,64710,53458,525
"3465",3919,16,59052,32306,404
"3466",3873,44,191827,97101,843
"3467",8811,106,470503,350837,4415
"3468",14973,26,64105,43340,548
"3469",15729,54,174199,103968,1256
"3470",32718,68,805093,310681,3943
"3471",29241,22,102468,53958,649
"3472",17229,25,151510,135713,1558
"3473",13111,45,156153,86614,1083
"3474",8494,16,104296,70400,887
"3475",58858,58,501114,335629,4222
"3476",3725,72,267728,143272,1772
"3477",26372,15,54036,38135,419
"3478",30090,240,1053182,640713,7394
"3479",30846,81,389439,290977,3666
"3480",28665,7,97086,22405,93
"3481",57548,11,55322,41299,536
"3482",18463,9,33144,18570,120
"3483",12513,22,95825,69229,876
"3484",22411,57,271204,227941,2093
"3485",17145,133,540281,301543,3725
"3486",29012,299,1174315,805866,10203
"3487",58220,27,130497,108734,1435
"3488",19254,55,169634,136025,1710
"3489",12554,89,311783,230091,2894
"3490",33905,185,1252962,946961,11992
"3491",35009,37,249063,193559,2283
"3492",34072,64,454219,305534,3850
"3493",26680,27,134865,118996,1528
"3494",21721,24,120717,76239,954
"3495",57576,16,41748,31566,396
"3496",50028,273,948665,488577,6146
"3497",33119,77,388993,302397,3793
"3498",16983,68,242144,180014,2255
"3499",25243,59,137274,98359,1237
"3500",58416,25,121079,79305,1014
"3501",14273,65,228328,171905,0
"3502",35076,33,106340,83633,1045
"3503",15282,16,61208,48302,607
"3504",58213,28,143274,133252,1672
"3505",57656,31,119136,83763,1053
"3506",19023,19,55795,35390,459
"3507",20761,33,118460,68649,858
"3508",24229,275,967048,740480,9447
"3509",29224,12,78185,61863,779
"3510",12617,27,103621,75224,940
"3511",17793,36,108199,52747,637
"3512",5568,180,579807,363278,4547
"3513",31345,3,15524,8057,30
"3514",34488,12,36853,28642,370
"3515",13058,34,77270,45463,461
"3516",29831,19,77006,51225,409
"3517",22874,134,922069,295120,2001
"3518",29783,63,176249,122812,1469
"3519",58594,8,35608,26996,351
"3520",3017,37,96827,67314,853
"3521",418,16,54023,45617,250
"3522",12267,235,806663,589955,7431
"3523",19554,22,192543,167935,2121
"3524",16111,97,466877,313621,3969
"3525",57732,26,135991,102548,1288
"3526",20290,38,99949,66987,863
"3527",28417,6,39618,19384,215
"3528",31232,14,66851,46436,279
"3529",6198,8,27072,18026,226
"3530",57420,18,107158,65764,722
"3531",26428,79,286769,187272,2408
