"","numemp","asset","RWAJT","RBCT2","rbc1rwaj","rbcrwaj"
"27062",50,161369,117171.7,1304,11.1221395610032,12.2350362758243
"27063",59,123091,90249,1044,9.95800507484848,11.1148045961728
"27252",12,26471,16454.4,206.7,12.6835375340335,13.9397364838584
"23047",40,85111,32108,166,14.8779120468419,15.3949171546032
"22334",17,62591,41898.8,370,12.3225486171442,13.2056288008248
"23431",23,49260,29447.64,368.84,14.2048734635441,15.4574016797271
"3813",46,79693,46708.3,471,14.3571913343025,15.3655774241409
"27046",32,45525,26379.57,330.37,11.7515183151204,13.0038889943998
"33930",11,15544,8512.5,81,38.4023494860499,39.3538913362702
"34020",7,9759,4928.3,33,35.7526936266055,36.4222957206339
"5219",32,65270,45692.9,449,11.0564223325725,12.0390695272132
"24897",39,57753,26069.4,127,17.5109515370511,17.9981127298672
"26425",47,112197,74501.2,710,10.0870858455971,11.0400906294127
"23306",17,18747,14018.96,175.26,10.6997951345892,11.9499591981146
"25750",13,32909,24669.71,308.91,12.4079285893511,13.6601119348383
"25665",17,29635,15625.3,149,13.7021369189712,14.6557186102027
"26372",9,17131,9362.25,117.35,15.3702368554568,16.6236748644824
"6271",108,197361,102141.16,1279.76,17.2457410900757,18.4986737961464
"33073",22,66974,53324.52,669.72,9.93539182349883,11.1913243663515
"19230",24,32031,14752.17,184.87,24.9048106143028,26.1579821816045
"25266",35,57701,38128.3,248,15.3245751843119,15.9750106875995
"18764",48,83746,54449.6,629,13.1461020833946,14.3012988157856
"10032",24,52004,22050.59,277.49,42.3072579917363,43.5656823694967
"25161",19,29813,20831.66,260.76,13.3210699483383,14.572818488781
"32699",27,60757,33376.18,419.68,14.2167258206302,15.4741495281965
"27183",18,43977,26621.8,235,14.3791929922094,15.2619281941867
"27818",149,370364,190874.65,2401.75,13.6969471849719,14.9552337096623
"26193",29,68413,47846.87,611.27,8.12174338676699,9.39929821950736
"31391",13,56864,30472.1,265,15.5092691347167,16.3789171077806
"28841",65,315134,153616.6,500,25.0630465717898,25.3885322289388
"14633",33,84127,60823.2,638,11.1815886043483,12.2305304554841
"29062",35,152315,71285.4,360,30.4999340678456,31.0049463143926
"30800",191,587465,295132,2040,24.2430505672038,24.8895409511676
"10114",25,50842,32344.7,341,13.2633785442437,14.3176470951964
"8067",8,22945,12895.9,139,35.8641118495026,36.9419738056281
"26638",8,18608,13088.5,139,11.6514497459602,12.7134507391985
"25267",7,13266,9263.7,99,13.1049148828222,14.1736023403176
"20349",25,41669,17336.09,217.89,22.1272501469478,23.384107950524
"15130",10,19265,13607.26,170.86,11.9421544087494,13.1978076409211
"18272",75,135735,96935.4,983,11.4168817583669,12.4309591748732
"16192",58,93496,44465.9,459,23.6810679644402,24.7133196449414
"22567",16,38995,23482.56,293.66,14.4149530545222,15.6654981398962
"1194",24,44977,19007.8,111,14.8517976830564,15.4357684739949
"15224",19,53652,24465.77,305.97,32.4821168514214,33.7327212673053
"12603",14,26066,17264.26,217.76,19.1783487968786,20.4396829056096
"17551",10,23879,17195.05,215.75,15.0973681379234,16.3520897002335
"9536",56,101279,74728.05,938.35,14.1834291139672,15.439115566377
"11561",6,15579,10814.87,137.67,16.9673791733049,18.24034870507
"27201",9,11461,9329.19,117.09,9.52923029759283,10.7843231834704
"14883",32,68977,43658.35,551.35,14.6661520648398,15.929026177123
"1839",19,39061,22127.07,278.27,18.7959815737014,20.0535814276359
"1936",26,89792,44857.5,374,32.6010143231344,33.4347656467703
"26416",13,21901,16096.66,203.86,12.1267393359865,13.3932132504507
"23257",7,14507,8986.86,113.36,14.0427246001384,15.3041217955994
"16976",55,75839,46197.4,550,14.5657547827367,15.756297973479
"27053",7,15349,8593.2,103,13.9296187683284,15.1282409346925
"21988",17,37413,24410.14,306.24,13.5271653501373,14.7817259548696
"15868",52,87577,52401.41,656.51,17.0090842975408,18.2619322647997
"17734",31,38075,16284.53,204.43,28.5240040701205,29.7793672890774
"26363",154,140498,123207.65,1563.55,17.8081474648693,19.0771839248618
"4420",20,33236,19559.06,246.06,18.2472981830415,19.5053341009231
"13380",30,41285,25096.1,308,15.0023310394842,16.2296133662202
"12614",67,102905,67811.78,847.68,13.4607880813629,14.7108363768065
"27163",48,68311,43628.57,545.77,12.8860515024902,14.1369978433857
"30087",65,173943,88844,323,12.8145963711674,13.178154968259
"896",55,92481,48350,589,12.9927611168563,14.210961737332
"33461",217,620310,333050.46,4167.96,14.3509785273979,15.6024285329016
"19048",2839,6263767,3946402.06,49643.96,10.421289917936,11.6792448663986
"23291",323,986725,649713.3,8142.7,10.8296998075921,12.0829756755788
"32700",365,1190678,790723.51,9935.11,10.3347123193542,11.5911704712055
"27419",558,2181559,1568434.3,16055,9.15964411132809,10.183276405011
"15796",75,158213,81459.7,949,13.5883142216335,14.7533074636906
"29430",7,22468,7199,0,27.0176413390749,27.0176413390749
"23340",108,122458,88390.2,666,11.9062973044523,12.659774499888
"26216",24,86718,52773.45,660.85,13.3286718984641,14.5809114242105
"18026",174,409089,280409.6,3007,10.1751152599626,11.2474751221071
"8527",65,274595,131920.1,765,31.2355736540527,31.8154701216873
"13788",21,35127,18163.69,227.59,24.7471741700062,26.000168467971
"13255",14,44802,29822.81,374.21,15.8167523449333,17.0715301475615
"19183",39,83279,63531.6,809.9,5.6664714882043,6.94127017106448
"6209",60,88400,62170.88,777.88,10.6834582363962,11.9346549381318
"31740",100,358405,154934,790,21.8848025610905,22.3946970968283
"11583",76,91925,51009.5,562,12.8956370872092,13.997392642547
"14745",14,34609,22428.64,282.84,12.8942280940797,14.1552943022849
"22120",10,14607,8588.31,107.51,16.9649209215783,18.2167387996009
"19482",71,105784,70610.91,883.41,9.76194755173103,11.0130431685415
"32512",36,87228,35671,366,18.6005438591573,19.6265874239578
"21723",87,131810,75183.14,950.14,9.61917791675102,10.8829452986401
"20217",69,191776,100150.61,1253.71,12.0688231454606,13.32064777239
"21763",52,87946,53195.5,667.6,11.8882236279385,13.1432170014381
"21578",113,133674,84688,1099,9.08865482713017,10.3863593425279
"24797",74,160083,127675.8,5183,9.65492285930458,13.7144235634318
"32489",375,566744,330914,2799,12.8994240195338,13.7452631197229
"28286",51,141112,88480,698,12.6028481012658,13.3917269439421
"9370",7,9911,6097.15,76.45,19.8289364703181,21.0828009807861
"15497",59,117173,56668.66,713.26,17.1399853111049,18.3986351538928
"33941",7,9688,4684.5,55,60.7962429288078,61.9703276763795
"27837",106,311789,153861,737,16.7085876212945,17.1875913974302
"8231",42,63264,35586.65,446.75,19.616906901886,20.8722934021606
"189",56,92008,60912.84,763.84,13.8936224283747,15.1476109142178
"23832",463,1787622,1655962.3,76131.5,6.60570593907844,11.2031234044398
"719",10126,21576881,18555429.9,562206.7,7.56987042375127,10.5997474087086
"33939",3,3035,2129.66,26.86,73.0633058798118,74.3245400674286
"16500",14,47349,34654.9,424,12.8062698204294,14.029762024995
"496",10,19670,14548.7,182.9,15.334703444294,16.5918604411391
"16868",5,8554,5078.63,63.53,14.7283814729563,15.9793093806794
"26006",33,100195,67487.36,850.26,13.4721524149115,14.7320327836205
"14264",67,124775,82439.7,836,13.1077624008821,14.121836930508
"31711",12,13291,8719,109,10.4255075123294,11.6756508773942
"24195",37,72128,54598.05,901.85,12.4070365150404,14.0588354345989
"29923",10,29152,14696.2,140,18.9164545937045,19.8690818034594
"18185",56,108667,67163.03,840.43,20.3728152228987,21.6241435206244
"15964",96,236170,155831.68,1948.58,18.4917469926526,19.7421859277908
"6063",94,154132,110189.48,1380.98,9.98552674901452,11.2388042851278
"16710",12,21497,13418.6,139,11.6331062853055,12.6689818609989
"13616",12,24462,12162.6,147,16.6658444740434,17.8744676302764
"33406",35,111090,101249.92,1274.52,10.4227242846217,11.6815104644033
"13023",16,38544,22866.2,286.6,19.3866930228897,20.640071371719
"8798",89,121405,72117.2,905.9,12.2841707664746,13.5403204783325
"17160",7,11113,6234.71,78.31,21.6369325918928,22.8929653504333
"27226",32,72630,51587.9,498,11.8419241721411,12.8072668203203
"23992",138,447823,288137.61,3657.61,20.2646228654427,21.5340198039402
"17398",101,158216,89231.22,1116.42,13.041399635688,14.2925536600306
"24728",61,92396,55926.58,701.58,15.810013771627,17.0644798948908
"33009",25,55194,39269,430,17.2604344393797,18.3554457714737
"22574",116,208926,160271.4,1701,9.14511260274759,10.2064373306778
"26761",36,73599,52419.7,615,15.1240850291017,16.2973080731099
"13779",132,269582,195286.48,2450.08,14.3225480842299,15.5771561861323
"32904",20,41592,27676.8,285,20.7574575095387,21.7872008324662
"13876",153,295705,202976,2145,17.2508079772978,18.3075831625414
"18646",139,191373,125510.05,1575.85,13.2156747607064,14.4712315866339
"29231",12,26480,13880,151,16.7579250720461,17.8458213256484
"30020",133,521786,306177,1853,10.9544479173811,11.5596534030969
"10573",3,12019,7738.43,97.73,13.7624815369526,15.0253992088835
"27339",136,303656,183645.08,2302.38,13.1765032855767,14.4302150648414
"16595",45,127841,86088.34,1077.94,11.7193571161902,12.9714895187897
"21998",17,36392,21828.9,261,14.4945462208357,15.6902088515683
"11482",22,54328,38141.6,384,10.0389076493907,11.0456824045137
"9241",16,29005,17431.2,206,17.2621506264629,18.4439396025517
"12399",64,102703,58966.1,529,15.3986782235895,16.2958038601841
"8511",28,65440,46171.2,563,11.4898464843885,12.7092213327789
"33855",173,9461,9401,0,21.9870226571641,21.9870226571641
"26499",36,78604,59668.9,466,8.00752150617826,8.7884978606946
"33492",79,128292,105045.19,1323.29,9.38738841826075,10.6471224432075
"27559",51,56821,40792.4,510.6,9.31423500455968,10.5659387532972
"18443",47,125911,81012.7,1016.9,17.6898190036871,18.9450542939564
"28818",19,71262,36850,462,17.2618724559023,18.5156037991859
"832",5608,13557742,11290294.6,278007.6,7.8313014082024,10.2936605392033
"28695",501,2557788,1625556,28957,9.31638159497427,11.0977413266599
"9696",358,1574677,1003771.02,37570.32,7.62016420836696,11.3630815920547
"12543",312,1552016,637863.68,18054.18,17.784677754344,20.6150912997586
"8602",15,46926,27607.7,346.5,13.4926125682328,14.7476972004187
"24561",38,55983,42171.2,370,10.564081648139,11.4414576772774
"10196",14,27330,15824.14,197.94,13.5299611858844,14.7808348510567
"1492",40,70995,22204.72,279.12,32.1598290813845,33.4168591182415
"13821",64,122170,92537.5,935,9.91381872213967,10.924219910847
"30260",45,146797,62274,149,16.2459453383435,16.4852105212448
"9322",36,96113,52237.2,359,20.28439502883,20.9716447282779
"33876",706,4111503,1755463,42608,20.6375753860947,23.0604119824798
"21486",34,66442,42400.9,510,14.7544037980326,15.9572084554809
"27048",30,56746,36733.4,323,12.4137705739191,13.293079322905
"9751",32,63731,41929.7,424,13.0384906164366,14.0497070095899
"23986",17,23976,15124.2,157,15.3065947289774,16.3446661641608
"10352",16,20547,12585.89,157.79,14.9929802342147,16.2466857727185
"30450",8,39965,11674,82,18.1428816172691,18.8024670207298
"32337",212,394039,249252,2496,12.1487490571791,13.1072167926436
"30242",16,61742,30495,381,10.6574848335793,11.906869978685
"17295",28,71114,26329.7,116,24.7363243789333,25.1768914951557
"15921",54,101776,76168.1,723,12.0785473183656,13.0277635913197
"6183",13,41997,14607.5,133,32.1067944549033,33.0172856409379
"28515",45,151309,58973,426,20.4500364573618,21.1724009292388
"348",8,16109,6760.6,70,24.7167411176523,25.7521521758424
"30167",24,85012,51013,324,30.5569168643287,31.0626702997275
"25250",29,58255,31716.88,398.48,18.6682927198388,19.9246584153296
"31857",50,89351,63366.71,796.01,9.24460177907295,10.5007976585813
"18364",41,89645,35937,384,18.4962573392325,19.5647939449592
"29293",10,26554,15323,78,23.1025256150884,23.6115643150819
"11358",38,72857,48427.42,608.72,13.9363195478925,15.1932933862675
"2691",145,265828,140964.5,1779.8,14.1347644265045,15.397351815528
"26254",109,259311,203417.05,5544.45,8.60449013492232,11.3301466125873
"8833",6,13915,11288.4,128,9.47875695404132,10.6126643279827
"1983",8,16120,10197.76,128.16,16.7978065771307,18.0545531567717
"27533",17,24982,16880.42,211.02,13.0269270551325,14.277014434475
"8981",6,12055,4630.95,62.05,33.9023310551831,35.2422289163131
"28543",11,50584,18921,135,14.6292479255853,15.0890544897204
"25809",39,1769849,167729.2,0,64.3215373351808,64.3215373351808
"28345",112,346764,184003,749,13.768253778471,14.1753123590376
