"","numemp","asset","RWAJT","RBCT2"
"17774",31,53846,41932.8,374
"13273",63,125535,96770.6,1024
"8707",24,49344,33572.2,373
"8195",131,234504,148046.7,1195
"19968",18,32546,22131,188
"15115",39,87411,42885.7,380
"14582",29,88311,62357.8,516
"13374",15,37140,18082.1,159
"30082",152,347012,193068,1348
"18260",86,238061,134390,1138
"18692",34,88205,58287.34,733.54
"28826",23,62280,22051,0
"28368",33,131350,59886,748
"90183",212,1042356,606682,3798
"16005",181,403916,194596.6,1465
"10463",4,8721,4960.2,41
"14017",51,98739,43829.44,559.64
"32099",406,1154963,432703,2780
"23930",70,102179,70065.13,978.13
"19757",88,365076,323044.3,4109.1
"19796",9,21581,10425.3,127
"29980",52,118626,36404,455
"33843",115,289187,185216.6,2059
"28254",243,912730,526456,6423
"27399",24,44102,30371.1,380
"6384",3890,10072127,7210824.16,93360.26
"18253",72,106913,73138.2,780
"15455",43,84168,57502.1,532
"25884",76,97452,51444.19,645.29
"29930",9,79557,36323,0
"18117",143,290628,197401.7,2009
"19628",24,54689,27681.49,346.19
"33415",15,50640,34045.6,376
"10866",8,13798,5494.04,68.84
"11304",14,32108,18464.56,230.96
"28495",37,130816,47148,589
"28731",5,27295,5949,0
"27425",27,63486,54206.96,677.96
"28980",32,42076,21599,125
"32441",46,61580,33057,416
"28186",17,39590,23023.5,222
"10685",44,125285,84172.11,1056.21
"1551",9,26418,18763.8,194
"30152",2,8730,3123,0
"28602",59,149358,52099,454
"29835",99,160375,89170,1059
"5747",9,22082,11088.9,98
"2616",23,29631,14842.89,186.69
"21920",29,71912,38867.4,382
"15873",11,34716,18349.8,152
"30022",15,95279,49816.9,358
"15669",37,93871,48485.22,607.62
"212",16,20874,13231.5,165.4
"30183",18,66734,25805,108
"29505",43,125288,58966,227
"33547",14,31912,25108.3,267
"30426",8,17474,9377,94
"12515",55,85574,31178.9,341
"13659",63,163024,67625.59,876.29
"29829",5,39624,15559,204
"5439",26,95369,61810.49,776.69
"28868",21,81401,21821,241
"9933",12,18327,10989.05,141.15
"21883",51,112140,66699.86,835.16
"23976",124,195230,115069.84,1441.54
"13018",21,30055,12884.9,100
"14577",13,26852,8158.27,102.07
"23989",30,41549,25780,323.4
"15145",16,43949,8199,69
"10195",18,42626,18563.37,233.87
"26755",15,10315,8562.48,107.78
"16258",26,79442,66564.7,662
"9342",55,124605,88047.75,1107.75
"13809",33,53070,34200.85,428.05
"15416",14,32610,25553.92,322.42
"8224",27,90300,63590.44,795.94
"1398",31,58709,45653.95,573.95
"9344",14,33940,26837.36,337.26
"12397",18,39742,25315.6,196
"6480",151,309268,232817.9,2406
"28153",48,168095,66830,253
"23749",31,37585,22848.7,243
"32316",0,42097,20829,104
"30526",6,13616,5665,79
"23222",39,38735,28375.66,354.96
"8551",18,26637,13826.86,173.96
"9387",22,45294,29099.1,294
"32487",20,35441,16490,138
"25849",27,49873,30002,208
"22916",15,22846,14260.8,179.9
"19671",20,31915,19435.15,253.85
"13029",46,72256,47865.1,501
"28878",36,75194,46580.6,315
"28077",6,27084,13933.5,64
"26621",49,331753,367153.9,1949
"27084",92,610344,417091.4,3811
"26343",11,18984,10632.97,133.67
"27791",15,75827,38548,89
"22805",98,168041,123522.33,3064.23
"33508",18,30804,19311.7,242.1
"33484",10,13253,8192.8,73
"10457",21,55216,18189.06,234.06
"23111",41,67041,37775.82,480.32
"30213",96,182631,94197,1777
"12712",6,6928,2912.84,37.54
"10875",39,103134,63523.28,794.98
"27276",114,1824289,1841818.22,23702.02
"33458",17,65601,44931.6,550
"12181",230,719048,493275.36,6366.36
"156",15,31197,20203.13,255.03
"12847",142,242204,162740.46,2040.96
"29578",15,43238,16042,73
"30103",13,40152,18810,62
"14693",6,17055,8274.5,80
"90245",26,76987,48822.61,614.21
"22825",176,332377,188216.05,2371.75
"2201",14,37311,19395.22,243.62
"22460",27,33286,23802.3,254
"1860",12,28624,15286.38,191.78
"2711",71,157105,106247.47,1334.07
"19498",35,54495,38632.5,308
"29977",23,76784,45963,151
"959",39,172081,77784.83,984.83
"32956",11,29489,23621.01,295.41
"8594",8,18639,10446.72,131.32
"21724",83,142890,79487.93,995.33
"25056",22,13341,10414.91,131.11
"15015",16,28038,20225.6,174
"18224",17,44024,25891.01,325.61
"29873",32,99187,49110,371
"960",5,9771,7909.55,98.95
"25783",13,20857,14694.32,185.52
"32798",8,25700,11536.9,144.7
"29439",11,56277,26402,120
"637",11044,101902304,75292719.09,2698343.89
"23744",18,9537,3903,0
"2760",47,97883,50701.8,615
"30434",14,69265,35488,100
"275",38,72640,39679.47,499.17
"18958",14,25761,14008.91,175.81
"25232",32,56458,34769.53,437.23
"28427",24,46123,21699,272
"1907",24,53280,39001.9,392
"18429",62,176724,101496.8,897
"30414",62,173293,67964,304
"29725",5,13179,6660,35
"2147",83,187787,102833.58,1292.08
"9037",38,89436,64516.4,734
"33760",16,25867,20509.2,136
"29358",4,7311,3297,23
"17052",68,145183,64546.5,4699.5
"21125",61,126908,79827.76,1026.66
"10494",25,41197,21289.81,269.71
"27362",20,31747,17593.7,170
"19279",41,48870,35637.84,448.44
"22591",18,35881,23452.78,294.28
"1928",15,23095,12792.32,160.12
"24046",34,47385,29440.4,277
"27317",38,82209,58006.5,700
"1772",17,36018,22556.92,283.32
"16648",89,183700,54840.23,699.73
"6786",50,65002,30588.14,386.94
"33314",36,41743,32190.35,402.65
"33844",13,9666,4015,11
"32992",59,84755,74938.34,955.84
