"","cert","numemp","asset","RBCT2"
"1164",17219,1205,2257327,82926.73
"1165",3004,267,470774,4047.13
"1166",6559,2665,6158283,266605.56
"1167",6564,85,189032,2118.43
"1168",6570,1581,2733793,105235.87
"1169",18914,590,1150950,9902.69
"1170",6576,145,277706,4862.11
"1171",14793,110,192189,2018.18
"1172",5292,71,140391,1137
"1173",19315,74,124375,3439.66
"1174",12806,75,125497,870
"1175",3040,157,227576,1871.64
"1176",13875,134,310281,3443.11
"1177",3025,146,242884,2102.16
"1178",12332,214,460396,3227
"1179",4345,2072,4907098,51608
"1180",5298,103,228060,1642
"1181",4350,358,752966,7826.75
"1182",10143,783,1573364,14599.31
"1183",19152,445,908818,14385.89
"1184",12358,178,306142,2125
"1185",10283,228,397302,3747.59
"1186",6633,94,146685,1444.44
"1187",8402,92,217559,3361.46
"1188",4356,73,113908,1003.04
"1189",13093,326,602399,4944.43
"1190",5309,1169,3279881,162865.77
"1191",12320,60,123115,909
"1192",5316,67,109538,785
"1193",12109,138,269050,2291
"1194",6677,136,242844,4371.27
"1195",26936,201,377397,2542
"1196",14830,74,130439,1230.2
"1197",4373,163,291155,2638
"1198",3734,393,824541,5918
"1199",6699,112,214373,5068
"1200",935,523,752351,5776
"1201",13391,142,246834,5156
"1202",5327,73,165735,1392
"1203",15023,106,177161,1821.59
"1204",27474,7396,17412883,116046
"1205",16703,421,844805,8158.32
"1206",2487,78,160682,1348
"1207",21991,160,239390,1128
"1208",6738,612,1116148,15035.44
"1209",5051,82,146482,3951
"1210",2116,2332,4211133,40705.18
"1211",12323,11,12067,103.24
"1212",18124,29,59371,286
"1213",9628,11,11016,70.86
"1214",32640,3071,8166554,30787
"1215",23751,13,11414,83.81
"1216",28736,995,4201313,75680.18
"1217",13653,19,45876,433.98
"1218",27208,55,58203,524.42
"1219",24430,487,1171094,900
"1220",30559,631,1300650,12490
"1221",32401,22,51701,374
"1222",22434,30,24663,519
"1223",27351,12,21371,75
"1224",23537,47,89662,544.92
"1225",29146,118,465035,3146
"1226",29311,315,853846,10953
"1227",12029,252,1567875,10383
"1228",32539,59,56858,274
"1229",26392,172,2184167,97723.12
"1230",953,277,480208,10379.7
"1231",623,10693,63853000,1683022.5
"1232",23592,22,39026,0
"1233",27512,46,58742,559.04
"1234",26918,54,81903,720.04
"1235",23210,18,54912,220
"1236",27550,42,68753,326.78
"1237",9006,28,53286,207
"1238",30100,90,266428,1175
"1239",27129,8,35296,238.49
"1240",32247,78,409004,1785
"1241",10502,28,50247,396.56
"1242",26712,16,22446,143
"1243",4009,107,154809,1880.44
"1244",26972,26,30033,211
"1245",10374,19,37302,350.73
"1246",19274,7,12374,199.18
"1247",19582,68,102102,825
"1248",17514,52,94040,627.68
"1249",15938,14,43437,276.01
"1250",16578,18,55351,458.42
"1251",16638,12,43232,316.91
"1252",11723,10,34697,276.66
"1253",14244,14,41668,333.19
"1254",15781,34,98657,707.89
"1255",27022,15,42320,268
"1256",11971,139,250900,2116.14
"1257",30878,2,11688,45
"1258",29320,57,118482,802
"1259",27027,13,15625,138.48
"1260",851,34,63810,365
"1261",20215,25,60970,211
"1262",7268,2,1242443,100
"1263",8124,20,39348,308.03
"1264",1252,55,138521,939.46
"1265",22293,169,473941,3151
"1266",9071,316,719820,8594.23
"1267",33582,904,2897201,26489.19
"1268",8022,1161,3032331,32257.56
"1269",18235,44,89868,793.82
"1270",9623,134,431711,3792
"1271",3566,694,2729798,51630.71
"1272",17634,136,427611,3867.94
"1273",16102,98,196404,1667.09
"1274",18687,312,925021,8602.02
"1275",19111,280,896579,7064.95
"1276",3580,238,575556,4726
"1277",20538,107,329487,2882.92
"1278",16767,268,780347,6434.36
"1279",21157,49,86336,740
"1280",8017,100,249843,2278.99
"1281",5660,107,240928,1983
"1282",17018,842,2596811,21015.07
"1283",20175,340,992099,8509.52
"1284",27020,882,3264159,27674.8
"1285",17341,303,911156,8557.76
"1286",3577,969,4700093,65380.33
"1287",870,100,187757,1850.77
"1288",26882,546,1912966,15675.46
"1289",32636,118,311270,2538
"1290",16826,192,674695,4669.85
"1291",3590,842,2599999,39309.77
"1292",20425,121,343893,2543.85
"1293",25867,181,430768,3917.28
"1294",26414,256,810565,5639.39
"1295",20956,224,618875,4886.38
"1296",20354,430,1487297,9419
"1297",144,160,389675,3970.18
"1298",21708,605,155613,0
"1299",2324,9,10351,40.74
"1300",90148,24,57870,448.55
"1301",9185,117,212046,750
"1302",27121,33,49890,434.84
"1303",11683,8,27484,176.16
"1304",12681,22,47705,364
"1305",10475,29,46033,231
"1306",21495,48,79290,617.14
"1307",22205,4,4975,37.96
"1308",17621,11,18061,108.44
